#This file is automatically generated by https://freetv.fun and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#freetv.fun does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://freetv.fun/app
#Generated on: 2026-08-24 12:00:02 UTC


#這個檔案是由https://freetv.fun自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#freetv.fun並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://freetv.fun/app
#生成時間: 2026-08-24 12:00:02 UTC


Africa,#genre#
TV GAZETA SAO PAULO[geo-blocked],https://t.freetv.fun/live/tv-gazeta-1.m3u8
TV Nova Play[geo-blocked],https://t.freetv.fun/live/play-tv.m3u8
TV Nova Play[geo-blocked],https://t.freetv.fun/live/play-tv-1.m3u8
TV Nova Play[geo-blocked],https://t.freetv.fun/live/play-tv-3.m3u8
TVE RS Brazil[geo-blocked],https://t.freetv.fun/live/tve-rs-1.m3u8
Terra Viva[geo-blocked],https://t.freetv.fun/live/terra.m3u8
Terra Viva[geo-blocked],https://t.freetv.fun/live/terra-viva.m3u8
Ulbra TV[geo-blocked],https://t.freetv.fun/live/ultra-tv.m3u8
Bulgaria,#genre#
First Music Channel HD[geo-blocked],https://t.freetv.fun/live/first-music-channel-russia.m3u8
First Music Channel HD[geo-blocked],https://t.freetv.fun/live/first-channel.m3u8
First Music Channel HD[geo-blocked],https://t.freetv.fun/live/first-channel-1.m3u8
Ring - bTV[geo-blocked],https://t.freetv.fun/live/rig-tv.m3u8
TV 7[geo-blocked],https://t.freetv.fun/live/rete-7-tv.m3u8
Cambodia,#genre#
BTV NEWS[geo-blocked],https://t.freetv.fun/live/btv.m3u8
CTN[geo-blocked],https://t.freetv.fun/live/ctn-1.m3u8
Canada,#genre#
APTN[geo-blocked],https://t.freetv.fun/live/apn.m3u8
CMT Canada[geo-blocked],https://t.freetv.fun/live/cmt.m3u8
CP24 Canada[geo-blocked],https://t.freetv.fun/live/cp24.m3u8
CTV[geo-blocked],https://t.freetv.fun/live/actv.m3u8
City TV[geo-blocked],https://t.freetv.fun/live/city-tv.m3u8
FX[geo-blocked],https://t.freetv.fun/live/fx.m3u8
FX[geo-blocked],https://t.freetv.fun/live/fx-1.m3u8
GLOBAL TV[geo-blocked],https://t.freetv.fun/live/global-tv.m3u8
GLOBAL TV[geo-blocked],https://t.freetv.fun/live/global-tv-1.m3u8
Global News[geo-blocked],https://t.freetv.fun/live/global-news.m3u8
Global News[geo-blocked],https://t.freetv.fun/live/global-news-1.m3u8
TV5 Canada[geo-blocked],https://t.freetv.fun/live/tv5-kannada.m3u8
TV5 Unis[geo-blocked],https://t.freetv.fun/live/tv5-unis.m3u8
TVA[geo-blocked],https://t.freetv.fun/live/tva.m3u8
TVA[geo-blocked],https://t.freetv.fun/live/tva-1-1.m3u8
TVA[geo-blocked],https://t.freetv.fun/live/tva-2.m3u8
TVO kids[geo-blocked],https://t.freetv.fun/live/tv2-kids.m3u8
tct kids[geo-blocked],https://t.freetv.fun/live/ctc-kids-1.php
tct kids[geo-blocked],https://t.freetv.fun/live/tct.m3u8
Chile,#genre#
24 Horas[geo-blocked],https://t.freetv.fun/live/ntn-24-horas.m3u8
24 Horas[geo-blocked],https://t.freetv.fun/live/24-horas-1.m3u8
CAMARA DE DIPUTADOS TV VALPARAISO CHILE LATAM[geo-blocked],https://t.freetv.fun/live/tv-camara-1-1.m3u8
CANAL DE NOTICIAS COLCHAHUA CHILE LATAM[geo-blocked],https://t.freetv.fun/live/canal-chv-noticias.m3u8
CDO PREMIUM SANTIAGO CHILE LATAM[geo-blocked],https://t.freetv.fun/live/cdo.m3u8
Canal 13, Chile[geo-blocked],https://t.freetv.fun/live/canal-12.m3u8
Canal 13, Chile[geo-blocked],https://t.freetv.fun/live/canal-13.m3u8
ETC TV, Chile[geo-blocked],https://t.freetv.fun/live/etc-tv.m3u8
El Pinguino[geo-blocked],https://t.freetv.fun/live/el-pinguino-tv-1.m3u8
El Pinguino[geo-blocked],https://t.freetv.fun/live/el-pinguino-tv-2.m3u8
La Red, Chile[geo-blocked],https://t.freetv.fun/live/la-red.m3u8
REC TV, Chile[geo-blocked],https://t.freetv.fun/live/trece-tv.m3u8
TV SENADO VALPARAISO CHILE LATAM[geo-blocked],https://t.freetv.fun/live/tv-senado.m3u8
TV SENADO VALPARAISO CHILE LATAM[geo-blocked],https://t.freetv.fun/live/tv-senado-1.m3u8
TV SENADO VALPARAISO CHILE LATAM[geo-blocked],https://t.freetv.fun/live/tv-senado-2.m3u8
TVN, Chile[geo-blocked],https://t.freetv.fun/live/tvn.m3u8
TVN, Chile[geo-blocked],https://t.freetv.fun/live/tvn-g.m3u8
UCV, Chile[geo-blocked],https://t.freetv.fun/live/ucv-tv.m3u8
China,#genre#
CCTV 8K[geo-blocked],https://t.freetv.fun/live/cctv-8.m3u8
CCTV 8K[geo-blocked],https://t.freetv.fun/live/cctv-8hd.m3u8
CCTV 8K[geo-blocked],https://t.freetv.fun/live/cctv-8-1.m3u8
CCTV 8K[geo-blocked],https://t.freetv.fun/live/cctv-8-2.m3u8
CCTV 8K[geo-blocked],https://t.freetv.fun/live/cctv-8-3.m3u8
CCTV 8K[geo-blocked],https://t.freetv.fun/live/cctv-8-4.m3u8
CCTV 8K[geo-blocked],https://t.freetv.fun/live/cctv-8kchao-gao-qing.m3u8
CCTV 8K[geo-blocked],https://t.freetv.fun/live/cctv-8kchao-gao-qing-1.m3u8
CCTV 8K[geo-blocked],https://t.freetv.fun/live/cctv-8hd-2.m3u8
CCTV 8K[geo-blocked],https://t.freetv.fun/live/cctv-8kchao-gao-qing-2.m3u8
CCTV 8K[geo-blocked],https://t.freetv.fun/live/cctv-8hd-3.m3u8
CCTV 8K[geo-blocked],https://t.freetv.fun/live/cctv-8kchao-gao-qing-3.m3u8
CCTV-戲曲[geo-blocked],https://t.freetv.fun/live/cctv-11xi-qu-3.m3u8
CCTV-戲曲[geo-blocked],https://t.freetv.fun/live/cctv-11xi-qu-4.m3u8
CCTV-戲曲[geo-blocked],https://t.freetv.fun/live/cctv-11xi-qu-8.m3u8
CCTV-戲曲[geo-blocked],https://t.freetv.fun/live/cctv-11xi-qu-9.m3u8
CCTV1[geo-blocked],https://t.freetv.fun/live/cctv1-1.m3u8
CCTV1[geo-blocked],https://t.freetv.fun/live/cctv1-6.m3u8
CCTV1[geo-blocked],https://t.freetv.fun/live/cctv1-7.m3u8
CCTV1[geo-blocked],https://t.freetv.fun/live/cctv1-16.m3u8
CCTV1[geo-blocked],https://t.freetv.fun/live/cctv1.m3u8
CCTV1[geo-blocked],https://t.freetv.fun/live/cctv1-5.m3u8
CCTV10[geo-blocked],https://t.freetv.fun/live/cctv10.m3u8
CCTV10[geo-blocked],https://t.freetv.fun/live/cctv10-2.m3u8
CCTV10[geo-blocked],https://t.freetv.fun/live/cctv10-9.m3u8
CCTV10[geo-blocked],https://t.freetv.fun/live/cctv10-10.m3u8
CCTV10[geo-blocked],https://t.freetv.fun/live/cctv10-17.m3u8
CCTV10[geo-blocked],https://t.freetv.fun/live/cctv10-11.m3u8
CCTV10[geo-blocked],https://t.freetv.fun/live/cctv10-14.m3u8
CCTV10[geo-blocked],https://t.freetv.fun/live/cctv10-5.m3u8
CCTV10[geo-blocked],https://t.freetv.fun/live/cctv10-6.m3u8
CCTV10[geo-blocked],https://t.freetv.fun/live/cctv-10ke-jiao-1.m3u8
CCTV10[geo-blocked],https://t.freetv.fun/live/cctv10-8.m3u8
CCTV10[geo-blocked],rtmp://yftv-wshls.yzbtv.cn/live/11ed8
CCTV10[geo-blocked],https://t.freetv.fun/live/cctv10-4.m3u8
CCTV10[geo-blocked],https://t.freetv.fun/live/cctv10-7.m3u8
CCTV10[geo-blocked],https://t.freetv.fun/live/cctv-10.m3u8
CCTV10[geo-blocked],https://t.freetv.fun/live/cctv10-12.m3u8
CCTV10[geo-blocked],https://t.freetv.fun/live/cctv10-13.m3u8
CCTV10[geo-blocked],https://t.freetv.fun/live/cctv10-15.m3u8
CCTV10[geo-blocked],https://t.freetv.fun/live/cctv10ke-jiao.m3u8
CCTV10[geo-blocked],https://t.freetv.fun/live/cctv10-16.m3u8
CCTV10[geo-blocked],https://t.freetv.fun/live/cctv10-18.m3u8
CCTV10[geo-blocked],https://t.freetv.fun/live/cctv10-19.m3u8
CCTV10[geo-blocked],https://t.freetv.fun/live/cctv10-20.m3u8
CCTV10[geo-blocked],https://t.freetv.fun/live/cctv-10-1.m3u8
CCTV10[geo-blocked],https://t.freetv.fun/live/cctv10-28.m3u8
CCTV10[geo-blocked],https://t.freetv.fun/live/cctv10ke-jiao-3.m3u8
CCTV10[geo-blocked],https://t.freetv.fun/live/cctv-10-2.m3u8
CCTV10[geo-blocked],https://t.freetv.fun/live/cctv-10-3.m3u8
CCTV10[geo-blocked],https://t.freetv.fun/live/cctv-10ke-jiao.m3u8
CCTV10[geo-blocked],https://t.freetv.fun/live/cctv10hd.m3u8
CCTV10[geo-blocked],https://t.freetv.fun/live/cctv-10hd.m3u8
CCTV10[geo-blocked],https://t.freetv.fun/live/cctv-10hd-1.m3u8
CCTV10[geo-blocked],https://t.freetv.fun/live/cctv-10hd-3.m3u8
CCTV10[geo-blocked],https://t.freetv.fun/live/cctv-10hd-4.m3u8
CCTV11[geo-blocked],https://t.freetv.fun/live/cctv11-2.m3u8
CCTV11[geo-blocked],https://t.freetv.fun/live/cctv11-5.m3u8
CCTV11[geo-blocked],https://t.freetv.fun/live/cctv11-6.m3u8
CCTV11[geo-blocked],https://t.freetv.fun/live/cctv11-3.m3u8
CCTV11[geo-blocked],https://t.freetv.fun/live/cctv11-13.m3u8
CCTV11[geo-blocked],https://t.freetv.fun/live/cctv11-11.m3u8
CCTV11[geo-blocked],https://t.freetv.fun/live/cctv11-14.m3u8
CCTV11[geo-blocked],https://t.freetv.fun/live/cctv11-18.m3u8
CCTV11[geo-blocked],https://t.freetv.fun/live/cctv11-1.m3u8
CCTV11[geo-blocked],https://t.freetv.fun/live/cctv11-7.m3u8
CCTV11[geo-blocked],https://t.freetv.fun/live/cctv11-8.m3u8
CCTV11[geo-blocked],https://t.freetv.fun/live/cctv11-9.m3u8
CCTV11[geo-blocked],https://t.freetv.fun/live/cctv11-10.m3u8
CCTV11[geo-blocked],https://t.freetv.fun/live/cctv11-12.m3u8
CCTV11[geo-blocked],https://t.freetv.fun/live/cctv11-16.m3u8
CCTV11[geo-blocked],https://t.freetv.fun/live/cctv11xi-qu.m3u8
CCTV11[geo-blocked],https://t.freetv.fun/live/cctv-11.m3u8
CCTV11[geo-blocked],https://t.freetv.fun/live/cctv11xi-qu-1.m3u8
CCTV11[geo-blocked],https://t.freetv.fun/live/cctv11xi-qu-2.m3u8
CCTV11[geo-blocked],https://t.freetv.fun/live/cctv-11-1.m3u8
CCTV11[geo-blocked],https://t.freetv.fun/live/cctv-11-3.m3u8
CCTV11[geo-blocked],https://t.freetv.fun/live/cctv-11hd.m3u8
CCTV11[geo-blocked],https://t.freetv.fun/live/cctv-11hd-1.m3u8
CCTV11[geo-blocked],https://t.freetv.fun/live/cctv-11hd-2.m3u8
CCTV11[geo-blocked],https://t.freetv.fun/live/cctv-11hd-3.m3u8
CCTV12[geo-blocked],https://t.freetv.fun/live/cctv12-1.m3u8
CCTV12[geo-blocked],https://t.freetv.fun/live/cctv12-2.m3u8
CCTV12[geo-blocked],https://t.freetv.fun/live/cctv12-3.m3u8
CCTV12[geo-blocked],https://t.freetv.fun/live/cctv12-7.m3u8
CCTV12[geo-blocked],https://t.freetv.fun/live/cctv12-10.m3u8
CCTV12[geo-blocked],https://t.freetv.fun/live/cctv12-14.m3u8
CCTV12[geo-blocked],https://t.freetv.fun/live/cctv12.m3u8
CCTV12[geo-blocked],https://t.freetv.fun/live/cctv12-8.m3u8
CCTV12[geo-blocked],https://t.freetv.fun/live/cctv12-20.m3u8
CCTV12[geo-blocked],https://t.freetv.fun/live/cctv12-12.m3u8
CCTV12[geo-blocked],https://t.freetv.fun/live/cctv12-4.m3u8
CCTV12[geo-blocked],https://t.freetv.fun/live/cctv12-5.m3u8
CCTV12[geo-blocked],https://t.freetv.fun/live/cctv12-6.m3u8
CCTV12[geo-blocked],https://t.freetv.fun/live/cctv12-9.m3u8
CCTV12[geo-blocked],https://t.freetv.fun/live/cctv12-11.m3u8
CCTV12[geo-blocked],https://t.freetv.fun/live/cctv12-13.m3u8
CCTV12[geo-blocked],https://t.freetv.fun/live/cctv12-15.m3u8
CCTV12[geo-blocked],https://t.freetv.fun/live/cctv12-16.m3u8
CCTV12[geo-blocked],https://t.freetv.fun/live/cctv12-17.m3u8
CCTV12[geo-blocked],https://t.freetv.fun/live/cctv12-18.m3u8
CCTV12[geo-blocked],https://t.freetv.fun/live/cctv12-19.m3u8
CCTV12[geo-blocked],https://t.freetv.fun/live/cctv12-21.m3u8
CCTV12[geo-blocked],https://t.freetv.fun/live/cctv-12.m3u8
CCTV12[geo-blocked],https://t.freetv.fun/live/cctv-12hd.m3u8
CCTV12[geo-blocked],https://t.freetv.fun/live/cctv12hd.m3u8
CCTV12[geo-blocked],https://t.freetv.fun/live/cctv-12-3.m3u8
CCTV12[geo-blocked],https://t.freetv.fun/live/cctv-12hd-1.m3u8
CCTV12[geo-blocked],https://t.freetv.fun/live/cctv-12hd-2.m3u8
CCTV12[geo-blocked],https://t.freetv.fun/live/cctv-12hd-4.m3u8
CCTV13[geo-blocked],https://t.freetv.fun/live/cctv13.m3u8
CCTV13[geo-blocked],https://t.freetv.fun/live/cctv13-4.m3u8
CCTV13[geo-blocked],https://t.freetv.fun/live/cctv13-1.php
CCTV13[geo-blocked],https://t.freetv.fun/live/cctv13-9.m3u8
CCTV13[geo-blocked],https://t.freetv.fun/live/cctv13-3.m3u8
CCTV13[geo-blocked],https://t.freetv.fun/live/cctv13-8.m3u8
CCTV13[geo-blocked],https://t.freetv.fun/live/cctv13-2.m3u8
CCTV13[geo-blocked],https://t.freetv.fun/live/cctv13-5.m3u8
CCTV13[geo-blocked],rtmp://yftv-wshls.yzbtv.cn/live/4e2f
CCTV13[geo-blocked],https://t.freetv.fun/live/cctv13-7.m3u8
CCTV13[geo-blocked],https://t.freetv.fun/live/cctv13xin-wen.m3u8
CCTV13[geo-blocked],https://t.freetv.fun/live/cctv-13.m3u8
CCTV13[geo-blocked],https://t.freetv.fun/live/cctv-13hd.m3u8
CCTV13[geo-blocked],https://t.freetv.fun/live/cctv13xin-wen-3.m3u8
CCTV13[geo-blocked],https://t.freetv.fun/live/cctv-13-1.m3u8
CCTV13[geo-blocked],https://t.freetv.fun/live/cctv-13-2.m3u8
CCTV13[geo-blocked],https://t.freetv.fun/live/cctv-13xin-wen.m3u8
CCTV13[geo-blocked],https://t.freetv.fun/live/cctv-13-5.php
CCTV13[geo-blocked],https://t.freetv.fun/live/cctv-13xin-wen-1.m3u8
CCTV13[geo-blocked],https://t.freetv.fun/live/cctv-13hd-1.m3u8
CCTV13[geo-blocked],https://t.freetv.fun/live/cctv-13hd-2.m3u8
CCTV13[geo-blocked],https://t.freetv.fun/live/cctv-13xin-wen-8.m3u8
CCTV13[geo-blocked],https://t.freetv.fun/live/cctv-13hd-4.m3u8
CCTV13[geo-blocked],https://t.freetv.fun/live/cctv13hd-1.m3u8
CCTV14[geo-blocked],https://t.freetv.fun/live/cctv14.m3u8
CCTV14[geo-blocked],https://t.freetv.fun/live/cctv14-5.m3u8
CCTV14[geo-blocked],https://t.freetv.fun/live/cctv14-7.m3u8
CCTV14[geo-blocked],https://t.freetv.fun/live/cctv14-8.m3u8
CCTV14[geo-blocked],https://t.freetv.fun/live/cctv14-9.m3u8
CCTV14[geo-blocked],https://t.freetv.fun/live/cctv14-11.m3u8
CCTV14[geo-blocked],https://t.freetv.fun/live/cctv14-16.m3u8
CCTV14[geo-blocked],https://t.freetv.fun/live/cctv14-3.m3u8
CCTV14[geo-blocked],https://t.freetv.fun/live/cctv14-10.m3u8
CCTV14[geo-blocked],https://t.freetv.fun/live/cctv14-18.m3u8
CCTV14[geo-blocked],https://t.freetv.fun/live/cctv-14shao-er.m3u8
CCTV14[geo-blocked],https://t.freetv.fun/live/cctv14-17.m3u8
CCTV14[geo-blocked],https://t.freetv.fun/live/cctv14-1.m3u8
CCTV14[geo-blocked],https://t.freetv.fun/live/cctv14shao-er.m3u8
CCTV14[geo-blocked],https://t.freetv.fun/live/cctv14shao-er-1.m3u8
CCTV14[geo-blocked],https://t.freetv.fun/live/cctv14shao-er-2.m3u8
CCTV14[geo-blocked],https://t.freetv.fun/live/cctv14-12.m3u8
CCTV14[geo-blocked],https://t.freetv.fun/live/cctv14-13.m3u8
CCTV14[geo-blocked],https://t.freetv.fun/live/cctv14-14.m3u8
CCTV14[geo-blocked],https://t.freetv.fun/live/cctv14-15.m3u8
CCTV14[geo-blocked],https://t.freetv.fun/live/cctv14-19.m3u8
CCTV14[geo-blocked],https://t.freetv.fun/live/cctv-14-1.m3u8
CCTV14[geo-blocked],https://t.freetv.fun/live/cctv14hd.m3u8
CCTV14[geo-blocked],https://t.freetv.fun/live/cctv-14-2.m3u8
CCTV14[geo-blocked],https://t.freetv.fun/live/cctv-14-3.m3u8
CCTV14[geo-blocked],https://t.freetv.fun/live/cctv-14hd-1.m3u8
CCTV14[geo-blocked],https://t.freetv.fun/live/cctv-14hd-2.m3u8
CCTV14[geo-blocked],https://t.freetv.fun/live/cctv-14shao-er-8.m3u8
CCTV14[geo-blocked],https://t.freetv.fun/live/cctv-14shao-er-10.m3u8
CCTV14[geo-blocked],https://t.freetv.fun/live/cctv-14shao-er-11.m3u8
CCTV14[geo-blocked],https://t.freetv.fun/live/cctv-14hd-4.m3u8
CCTV15[geo-blocked],https://t.freetv.fun/live/cctv15-1.m3u8
CCTV15[geo-blocked],https://t.freetv.fun/live/cctv15-2.m3u8
